Timestamp,PM.Relaxation.Scaled
0.1,0.674735
10,0.034853
20,0.697059
30,0.697059
40,0.697059
50,0.697059
60,0.68508
70,0.017943
80,0.511458
90,0.595853
100,0.64625
110,0.686663
120,0.430051
130,0.034853
140,0.632834
150,0.682042
160,0.659483
170,0.599135
180,0.527219
190,0.02949
200,0.680219
210,0.697059
220,0.697059
230,0.697059
240,0.697059
250,0.034853
260,0.697059
270,0.697059
280,0.697059
290,0.697059
300,0.697059
310,0.034853
320,0.697059
330,0.697059
